CLASS_NAME,DEPT,COURSE_NUM,COURSE_TOPIC
Special Topics in Architecture,ARCH,5500,Architecture & Representation
Special Topics in Architecture,ARCH,5500,Rapid Shelter: Refugees & Communities in Disaster
Special Topics in Architecture,ARCH,5500,Museum Interpretation Skyscraper
Special Topics in Architecture,ARCH,5500,Cinematic Space
Special Topics in Architecture,ARCH,5500,The Art of Looking
Special Topics in Architecture,ARCH,5500,Sonic Studies in Design
Special Topics in Architecture,ARCH,5500,100 Days of Making
A Primer for Urban Design,ARCH,5612,
Urban Strategies,ARCH,5614,
Site Reading: Re-Cognition,ARCH,5714,
Elements of Design,ARCH,5715,
Drawing For Design,ARCH,5760,
Independent Study,ARCH,5993,
Independent Study,ARCH,5993,
Independent Study,ARCH,5993,
Independent Study,ARCH,5993,
Independent Study,ARCH,5993,
Independent Study,ARCH,5993,
Independent Study,ARCH,5993,
Foundation Studio II,ARCH,6020,
Architectural Theory and Analysis,ARCH,6120,
Building Workshop II,ARCH,6261,
Foundation Studio IV,ARCH,7020,
Foundation Studio IV,ARCH,7020,
Foundation Studio IV,ARCH,7020,
Foundation Studio IV,ARCH,7020,
Foundation Studio IV,ARCH,7020,
Design Research Methods,ARCH,7100,
Contemporary Spatial Practices,ARCH,7122,
Structural Design for Dynamic Loads,ARCH,7210,
Structural Design for Dynamic Loads,ARCH,7210,
Structural Design for Dynamic Loads,ARCH,7210,
Building Integration Workshop III,ARCH,7230,
Parametric Structural Design,ARCH,7274,
Independent Study,ARCH,7993,
Independent Study,ARCH,7993,
Building Synthesis,ARCH,8230,
Professional Practices,ARCH,8480,
Special Topics in Architecture,ARCH,8500,Rapid Shelter: Refugees & Communities in Disaster
Special Topics in Architecture,ARCH,8500,Architecture and Representation
Special Topics in Architecture,ARCH,8500,Cinematic Space
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Teaching Experience,ARCH,8800,
Research Experience,ARCH,8801,
Research Experience,ARCH,8801,
"Non-Topical Research, Masters",ARCH,8999,
Independent Study,ARCY,3993,
Undergraduate Thesis Writing,ARCY,4999,
Undergraduate Thesis Writing,ARCY,4999,
Undergraduate Thesis Writing,ARCY,4999,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
History of Architecture II,ARH,1020,
Thomas Jefferson and American Architecture,ARH,2700,
Metropolis,ARH,3040,
World Contemporary Architecture,ARH,3403,
Special Topics in Architectural History,ARH,3500,Cultural Landscape of Virginia
East Meets West,ARH,3601,
World Buddhist Architecture,ARH,3602,
Undergraduate Seminar in the History of Architecture,ARH,4591,Museum Interpretation Skyscraper
Major Special Study: Thesis,ARH,4999,
